epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.241,1.65314,3.43997,1.46004,0.48365,0.41261,0.3871,0.24306,1.37104,1.68244,1.18622,5.17204e-05,5.17204e-05,5.17204e-05
2,292.709,1.31323,1.50682,1.22326,0.57832,0.53996,0.56631,0.37448,1.30525,1.29916,1.1649,0.000102694,0.000102694,0.000102694
3,420.887,1.2037,1.15122,1.16555,0.63315,0.52359,0.59156,0.38623,1.35459,1.41526,1.20884,0.000152637,0.000152637,0.000152637
4,534.758,1.16307,1.00313,1.14832,0.70758,0.54132,0.62936,0.43022,1.21867,1.1159,1.1282,0.000151367,0.000151367,0.000151367
5,648.711,1.10326,0.86913,1.11486,0.69228,0.59384,0.64794,0.44495,1.2321,1.14012,1.11789,0.000149822,0.000149822,0.000149822
6,762.713,1.05542,0.78854,1.09027,0.66356,0.64248,0.68951,0.49891,1.103,1.017,1.09663,0.000148278,0.000148278,0.000148278
7,876.651,1.01736,0.73627,1.07093,0.70016,0.61114,0.70263,0.48484,1.14187,1.11247,1.10817,0.000146734,0.000146734,0.000146734
8,990.068,0.99473,0.68509,1.05836,0.73508,0.6471,0.73628,0.51723,1.17638,0.95885,1.10069,0.000145189,0.000145189,0.000145189
9,1103.75,0.95958,0.6437,1.03602,0.71962,0.70913,0.76414,0.52207,1.21248,0.92419,1.13678,0.000143645,0.000143645,0.000143645
10,1217.78,0.93194,0.61281,1.02609,0.83264,0.64645,0.75278,0.54603,1.1134,0.89435,1.08152,0.0001421,0.0001421,0.0001421
11,1331.48,0.91025,0.5899,1.01484,0.79849,0.68097,0.7697,0.5523,1.11642,0.90504,1.08543,0.000140556,0.000140556,0.000140556
12,1445.39,0.89353,0.5715,1.00579,0.79757,0.68858,0.77451,0.56523,1.07329,0.82771,1.06475,0.000139012,0.000139012,0.000139012
13,1559.35,0.86186,0.54725,0.99753,0.80109,0.71963,0.82741,0.60031,1.10181,0.82999,1.08175,0.000137467,0.000137467,0.000137467
14,1673.34,0.85417,0.53216,0.99201,0.80316,0.73168,0.82053,0.60543,1.07406,0.85876,1.07395,0.000135923,0.000135923,0.000135923
15,1787.25,0.83407,0.51455,0.98262,0.65963,0.75938,0.80336,0.59358,1.08814,0.84866,1.07385,0.000134378,0.000134378,0.000134378
16,1900.89,0.81076,0.49871,0.97291,0.76716,0.77914,0.82009,0.59171,1.09901,0.8319,1.06599,0.000132834,0.000132834,0.000132834
17,2014.59,0.79616,0.48619,0.96797,0.81925,0.73536,0.83839,0.59971,1.07026,0.81125,1.07016,0.00013129,0.00013129,0.00013129
18,2128.1,0.79169,0.47986,0.96548,0.83748,0.67715,0.79195,0.57813,1.08794,0.8878,1.08232,0.000129745,0.000129745,0.000129745
19,2241.63,0.77713,0.47032,0.95978,0.79415,0.71384,0.80827,0.58941,1.09921,0.85286,1.08437,0.000128201,0.000128201,0.000128201
20,2355.26,0.76017,0.45839,0.95076,0.7532,0.77569,0.82372,0.61006,1.07655,0.8307,1.06717,0.000126656,0.000126656,0.000126656
21,2469.1,0.74935,0.44892,0.94705,0.81,0.70315,0.78618,0.57749,1.04982,0.86683,1.06932,0.000125112,0.000125112,0.000125112
22,2582.67,0.74084,0.44232,0.94338,0.77253,0.76459,0.80123,0.5918,1.10019,0.88908,1.08649,0.000123568,0.000123568,0.000123568
23,2696.19,0.72638,0.43606,0.9392,0.80019,0.78201,0.83391,0.62828,1.08768,0.82423,1.0808,0.000122023,0.000122023,0.000122023
24,2810.05,0.71868,0.42692,0.93462,0.83709,0.72055,0.82194,0.60295,1.09127,0.85897,1.08593,0.000120479,0.000120479,0.000120479
25,2923.62,0.70714,0.41937,0.93155,0.83128,0.72793,0.82283,0.60809,1.12166,0.89431,1.08536,0.000118934,0.000118934,0.000118934
26,3037.12,0.70142,0.41651,0.92979,0.74261,0.82759,0.84546,0.63283,1.05508,0.75061,1.07282,0.00011739,0.00011739,0.00011739
27,3150.75,0.68898,0.40942,0.92509,0.79884,0.73671,0.81721,0.60187,1.08583,0.86482,1.08574,0.000115846,0.000115846,0.000115846
28,3264.11,0.67985,0.40251,0.92353,0.81629,0.71309,0.80224,0.58625,1.11811,0.87618,1.09829,0.000114301,0.000114301,0.000114301
29,3377.51,0.67942,0.40013,0.91989,0.84548,0.77906,0.83762,0.62696,1.03696,0.80586,1.05524,0.000112757,0.000112757,0.000112757
30,3490.88,0.66588,0.39295,0.91679,0.80606,0.77189,0.83567,0.62659,1.048,0.81702,1.06768,0.000111212,0.000111212,0.000111212
31,3604.46,0.66314,0.39161,0.91886,0.83524,0.74066,0.83609,0.6226,1.06414,0.80706,1.07909,0.000109668,0.000109668,0.000109668
32,3717.92,0.65541,0.38462,0.91407,0.88119,0.75273,0.84739,0.63042,1.07335,0.81845,1.08087,0.000108124,0.000108124,0.000108124
33,3831.56,0.64471,0.3788,0.90905,0.73631,0.81478,0.84402,0.6386,1.02837,0.73032,1.06672,0.000106579,0.000106579,0.000106579
34,3945.36,0.63971,0.37668,0.90884,0.84019,0.76463,0.83616,0.62389,1.07252,0.82296,1.09056,0.000105035,0.000105035,0.000105035
35,4058.81,0.63586,0.37361,0.90515,0.88609,0.72847,0.83601,0.62345,1.04212,0.80861,1.07687,0.00010349,0.00010349,0.00010349
36,4172.21,0.62747,0.36755,0.90188,0.8799,0.77809,0.85001,0.63791,1.03769,0.75172,1.08247,0.000101946,0.000101946,0.000101946
37,4285.6,0.61592,0.36252,0.90015,0.82159,0.78329,0.8371,0.62709,1.06853,0.7984,1.08041,0.000100402,0.000100402,0.000100402
38,4399.28,0.61057,0.36183,0.89843,0.84248,0.76707,0.84456,0.6288,1.05258,0.81404,1.07005,9.88572e-05,9.88572e-05,9.88572e-05
39,4512.92,0.60986,0.35703,0.89828,0.87802,0.77067,0.85985,0.64806,1.03515,0.78836,1.0702,9.73128e-05,9.73128e-05,9.73128e-05
40,4626.88,0.60354,0.35804,0.89709,0.8627,0.76956,0.84019,0.63913,1.0375,0.78524,1.06825,9.57684e-05,9.57684e-05,9.57684e-05
41,4740.61,0.59641,0.35102,0.89431,0.82308,0.78902,0.82749,0.63306,1.01852,0.81135,1.06418,9.4224e-05,9.4224e-05,9.4224e-05
42,4854.32,0.58953,0.34769,0.8926,0.75667,0.80999,0.83223,0.63061,1.04992,0.82728,1.07211,9.26796e-05,9.26796e-05,9.26796e-05
43,4968.09,0.5863,0.34377,0.88899,0.88053,0.74588,0.84201,0.64361,1.03442,0.79099,1.0665,9.11352e-05,9.11352e-05,9.11352e-05
44,5081.76,0.58047,0.33883,0.88731,0.85306,0.78524,0.85022,0.64388,1.03846,0.77837,1.07712,8.95908e-05,8.95908e-05,8.95908e-05
45,5195.45,0.57705,0.33946,0.8873,0.86567,0.78979,0.85194,0.65261,1.01848,0.78527,1.07115,8.80464e-05,8.80464e-05,8.80464e-05
46,5309.01,0.56754,0.33416,0.88343,0.78772,0.8026,0.85056,0.64644,1.03499,0.81867,1.08088,8.6502e-05,8.6502e-05,8.6502e-05
47,5422.36,0.56689,0.33355,0.88484,0.89498,0.73211,0.84813,0.65239,1.02476,0.81427,1.0695,8.49576e-05,8.49576e-05,8.49576e-05
48,5536.08,0.56264,0.3304,0.88373,0.87682,0.78505,0.85824,0.66372,0.99501,0.76815,1.06228,8.34132e-05,8.34132e-05,8.34132e-05
49,5649.93,0.5584,0.32684,0.88155,0.84844,0.80103,0.86475,0.66062,1.01613,0.76028,1.06393,8.18688e-05,8.18688e-05,8.18688e-05
50,5763.41,0.55356,0.32488,0.87923,0.83435,0.79656,0.8481,0.63751,1.0677,0.82033,1.0922,8.03244e-05,8.03244e-05,8.03244e-05
51,5877.11,0.54768,0.32198,0.87764,0.8777,0.77788,0.85552,0.64271,1.03517,0.75851,1.07391,7.878e-05,7.878e-05,7.878e-05
52,5990.72,0.53998,0.31926,0.87702,0.86438,0.78343,0.8605,0.65404,1.03486,0.80094,1.07504,7.72356e-05,7.72356e-05,7.72356e-05
53,6104.28,0.53545,0.31559,0.87353,0.8608,0.78464,0.85122,0.64787,1.02823,0.81237,1.0777,7.56912e-05,7.56912e-05,7.56912e-05
54,6217.92,0.53414,0.31266,0.87544,0.87223,0.77508,0.84379,0.63923,1.03654,0.82535,1.07963,7.41468e-05,7.41468e-05,7.41468e-05
55,6331.44,0.52932,0.31065,0.87131,0.8903,0.7675,0.84976,0.6351,1.06154,0.843,1.08951,7.26024e-05,7.26024e-05,7.26024e-05
