epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5876.69,1.45226,2.7893,1.24265,0.8584,0.82983,0.88719,0.57188,1.23918,1.03467,1.11144,9.79127e-05,9.79127e-05,9.79127e-05
2,8213.4,1.20125,1.18635,1.11044,0.88762,0.9264,0.94908,0.61398,1.20594,0.83833,1.1134,0.000189448,0.000189448,0.000189448
3,10238,1.12325,0.96581,1.08295,0.92602,0.93621,0.95108,0.60944,1.24419,0.75236,1.12749,0.000274514,0.000274514,0.000274514
4,12599.3,1.07197,0.86345,1.06339,0.9364,0.93642,0.9561,0.62497,1.19924,0.70638,1.13026,0.000264894,0.000264894,0.000264894
5,14645.8,1.02927,0.78244,1.04502,0.93812,0.95089,0.95996,0.62299,1.21217,0.6662,1.13421,0.000255192,0.000255192,0.000255192
6,16750.2,1.00248,0.73268,1.0358,0.94818,0.95844,0.96569,0.63575,1.17953,0.62255,1.13331,0.00024549,0.00024549,0.00024549
7,24794.2,0.97339,0.68901,1.02621,0.94328,0.96495,0.96064,0.63593,1.18834,0.59255,1.13517,0.000235788,0.000235788,0.000235788
8,26741.5,0.95366,0.65737,1.01655,0.94667,0.96248,0.95885,0.63756,1.17166,0.58404,1.14076,0.000226086,0.000226086,0.000226086
9,28627.6,0.93373,0.62999,1.01046,0.9482,0.97016,0.96378,0.64561,1.16893,0.55333,1.13994,0.000216384,0.000216384,0.000216384
10,30595.5,0.91521,0.60764,1.00327,0.9498,0.96475,0.96723,0.64492,1.16475,0.54738,1.13968,0.000206682,0.000206682,0.000206682
