epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.474,1.26522,1.61779,1.19448,0.94388,0.94059,0.95786,0.61907,1.23023,0.55404,1.18331,9.76512e-05,9.76512e-05,9.76512e-05
2,302.388,0.98942,0.61213,1.05242,0.93744,0.95565,0.96357,0.64303,1.13922,0.50636,1.1916,0.000189195,0.000189195,0.000189195
3,451.827,0.92019,0.52191,1.02408,0.94453,0.96034,0.96862,0.63742,1.17437,0.50261,1.22065,0.00027427,0.00027427,0.00027427
4,600.458,0.87121,0.47853,1.01087,0.95688,0.95382,0.97327,0.64518,1.16792,0.48633,1.23368,0.000264894,0.000264894,0.000264894
5,749.541,0.8266,0.43823,0.99407,0.94745,0.97214,0.972,0.65094,1.1612,0.46989,1.24526,0.000255192,0.000255192,0.000255192
6,898.386,0.78217,0.40957,0.97436,0.95636,0.9688,0.97289,0.65043,1.15832,0.45429,1.2534,0.00024549,0.00024549,0.00024549
7,1047,0.74855,0.3862,0.96008,0.95981,0.97225,0.96948,0.65116,1.16909,0.45777,1.27971,0.000235788,0.000235788,0.000235788
8,1195.69,0.71678,0.36726,0.95127,0.96203,0.96288,0.96286,0.65065,1.16599,0.44269,1.28975,0.000226086,0.000226086,0.000226086
9,1343.93,0.69281,0.35501,0.94361,0.95956,0.96769,0.97534,0.6531,1.1747,0.45353,1.30781,0.000216384,0.000216384,0.000216384
10,1492.14,0.66779,0.34009,0.93505,0.95529,0.96636,0.96747,0.65323,1.18361,0.45608,1.33158,0.000206682,0.000206682,0.000206682
11,1640.55,0.64335,0.32815,0.9248,0.95627,0.97087,0.97113,0.65884,1.17887,0.45172,1.33393,0.00019698,0.00019698,0.00019698
12,148.425,0.62698,0.32023,0.91999,0.95809,0.96005,0.96711,0.65756,1.17504,0.45311,1.34217,0.000187278,0.000187278,0.000187278
13,296.613,0.60392,0.30585,0.91268,0.94978,0.97436,0.97438,0.65387,1.18159,0.45329,1.37387,0.000177576,0.000177576,0.000177576
14,444.969,0.58641,0.29867,0.90522,0.96317,0.97125,0.97529,0.65233,1.17773,0.44192,1.35682,0.000167874,0.000167874,0.000167874
15,593.225,0.57062,0.28941,0.89876,0.95806,0.97327,0.97333,0.65704,1.17723,0.45951,1.35503,0.000158172,0.000158172,0.000158172
16,741.572,0.55638,0.28225,0.89497,0.95746,0.97473,0.97036,0.65927,1.17494,0.43772,1.372,0.00014847,0.00014847,0.00014847
17,890.322,0.53827,0.27304,0.88765,0.9664,0.9742,0.97719,0.66245,1.17945,0.43855,1.35851,0.000138768,0.000138768,0.000138768
18,1038.99,0.52262,0.26678,0.88142,0.96333,0.97175,0.97265,0.66413,1.17763,0.4409,1.3853,0.000129066,0.000129066,0.000129066
19,1187.56,0.51041,0.26096,0.87751,0.95938,0.97383,0.97266,0.65873,1.18652,0.43576,1.40151,0.000119364,0.000119364,0.000119364
20,1335.77,0.50009,0.25557,0.8739,0.96201,0.96957,0.97451,0.65824,1.18898,0.44648,1.37846,0.000109662,0.000109662,0.000109662
21,1510.11,0.43809,0.21993,0.85991,0.95898,0.96719,0.97253,0.65901,1.17638,0.46137,1.40992,9.996e-05,9.996e-05,9.996e-05
22,1657.09,0.41615,0.20998,0.85184,0.95968,0.97101,0.97541,0.6628,1.1786,0.44786,1.408,9.0258e-05,9.0258e-05,9.0258e-05
23,1803.68,0.39824,0.20384,0.84434,0.95795,0.96951,0.97606,0.6646,1.17569,0.45241,1.42399,8.0556e-05,8.0556e-05,8.0556e-05
24,1950.31,0.38277,0.1964,0.83958,0.96022,0.96935,0.97329,0.66478,1.17802,0.44828,1.41141,7.0854e-05,7.0854e-05,7.0854e-05
25,2096.52,0.36752,0.19082,0.83357,0.96314,0.9693,0.97228,0.66324,1.18261,0.44778,1.43903,6.1152e-05,6.1152e-05,6.1152e-05
26,2242.81,0.3554,0.18607,0.83042,0.95248,0.96953,0.97302,0.66024,1.18235,0.46182,1.45169,5.145e-05,5.145e-05,5.145e-05
27,2389.06,0.34208,0.17965,0.82523,0.96311,0.96231,0.96965,0.66295,1.18286,0.46099,1.44779,4.1748e-05,4.1748e-05,4.1748e-05
28,2535.33,0.33034,0.17485,0.82189,0.95758,0.9722,0.97315,0.66316,1.18279,0.45402,1.45706,3.2046e-05,3.2046e-05,3.2046e-05
29,2681.38,0.31955,0.17065,0.81922,0.96352,0.96845,0.97615,0.66588,1.18265,0.45909,1.44924,2.2344e-05,2.2344e-05,2.2344e-05
30,2828.05,0.30938,0.16654,0.8151,0.96101,0.96756,0.97556,0.66588,1.18422,0.45871,1.45974,1.2642e-05,1.2642e-05,1.2642e-05
